
"Status","Keywords","Match","Bid","Impr.","Clicks","CTR","ACPC","Spend","Sales","ACoS"
"Enabled","automotive kit","Broad","0.50","10,183","10","0.098%","0.45","4.50","0.00",-
"Enabled","hushmat","Broad","0.50","44,787","675","1.507%","0.28","190.66","4,074.67","4.68%"
"Enabled","damping","Broad","1.50","8,170","33","0.404%","0.59","19.34","185.13","10.45%"
"Enabled","automotive tape","Broad","0.75","56,957","75","0.132%","0.49","36.77","38.83","94.69%"
"Enabled","tape quiet","Broad","0.75","239","6","2.51%","0.30","1.79","20.65","8.67%"
"Enabled","sound dampening material","Broad","1.00",-,-,-,-,-,-,-
"Enabled","noico","Broad","1.25",-,-,-,-,-,-,-
"Enabled","sound dampening car","Broad","1.25","869","1","0.115%","0.52","0.52","0.00",-
"Enabled","car sound deadening","Broad","0.75","27,263","89","0.326%","0.67","59.35","60.30","98.42%"
"Enabled","car sound deadener","Broad","1.25",-,-,-,-,-,-,-
"Enabled","car sound deadener material","Broad","1.25",-,-,-,-,-,-,-
"Enabled","car sound insulation","Broad","0.75","5,945","24","0.404%","0.46","11.04","0.00",-
"Enabled","car sound insulator","Broad","1.25",-,-,-,-,-,-,-
"Enabled","car insulation","Broad","1.20","55,914","212","0.379%","0.65","138.11","175.26","78.80%"
"Enabled","car heat reduction","Broad","0.75",-,-,-,-,-,-,-
"Enabled","car heat reducer","Broad","0.75",-,-,-,-,-,-,-
"Enabled","hushmat sound deadening","Broad","0.75","1,784","8","0.448%","0.49","3.96","57.95","6.83%"
"Enabled","ultra silver foil kit","Broad","0.75","3","0","0.00%",-,"0.00","0.00",-
"Enabled","ultra black foil kit","Broad","0.75","2","1","50.00%","0.09","0.09","212.03","0.04%"
"Enabled","automotive sound deadener","Broad","0.75",-,-,-,-,-,-,-
"Enabled","fatmat","Broad","1.25",-,-,-,-,-,-,-
"Enabled","sound damping","Broad","1.50","1,369","6","0.438%","0.73","4.38","0.00",-
"Enabled","sound dampening","Broad","1.25",-,-,-,-,-,-,-
