"(Parent) ASIN","(Child) ASIN","Title","SKU","Sessions","Session Percentage","Page Views","Page Views Percentage","Buy Box Percentage","Units Ordered","Unit Session Percentage","Ordered Product Sales","Total Order Items"
"B018E65WW2","B018E65WW2","THERMO PURE Natural Fat Burner Caffeine Free Weight Loss Pills and Healthy Appetite Suppressant Dietary Supplement, 60 Capsule","PNW-STIMFREE SF","566","30.58%","762","31.49%","22%","33","5.83%","$1,154.67","31"
"B01BON4QAQ","B01BON4QAQ","PAIN-MD, Top Pain Relief Supplement, Fast Acting Natural Formula for Joint Pain Relief and Muscle Discomfort, More Flexibility with Anti-Inflammatory Benefits, 90 Capsules","HIT-PAINMD","44","2.38%","59","2.44%","98%","9","20.45%","$269.91","9"
"B073Q194R7","B01MQSZF2A","Install Centric ICGM1BN GMC/Chevrolet Full Size 1988-94 Truck GRAY Complete Installation Solution for Car Stereos","SCO-ICGM1BN","28","1.51%","33","1.36%","67%","4","14.29%","$79.96","4"
"B01LWIJHPH","B01EXS1NB4","New Domaine Shredded Memory Foam Cooling pillow- Queen","SUM-1428","17","0.92%","23","0.95%","100%","3","17.65%","$269.97","2"
"B01F1SXRCI","B01F1SXRCI","RAW Synergies PRE MASS Gainer Workout Supplement, Pre Workout Muscle Builder & Nitric Oxide Booster - Natural Weight Gainer - Caffeine Free, Effective Intra & Post Muscle Building, Dragon Fruit, 688G","5E-FGEA-XB7G","488","26.36%","592","24.46%","2%","2","0.41%","$79.98","2"
"B073Q194R9","B01N1P92FL","Install Centric ICGM5BN GMC/Chevrolet Full Size 1988-94 Truck BLACK Complete Installation Solution for Car Stereos","SCO-ICGM5BN","23","1.24%","27","1.12%","93%","2","8.70%","$39.98","2"
"B018E65WW2","B018E65WW2","THERMO PURE Natural Fat Burner Caffeine Free Weight Loss Pills and Healthy Appetite Suppressant Dietary Supplement, 60 Capsule","PNW-STIMFREE","566","30.58%","762","31.49%","22%","1","0.18%","$17.99","1"
"B01LWIJHPH","B01EXS1SZA","New Domaine Shredded Latex Cooling pillow-Standard","SUM-1430","12","0.65%","13","0.54%","100%","1","8.33%","$49.99","1"
"B01L8SJ5HQ","B01EXS1T0O","Panda Life Silver Luxury Sheets-Cal King","SUM-1480","9","0.49%","15","0.62%","87%","1","11.11%","$39.99","1"
"B01LWIJHPH","B01EXS1V02","New Domaine Shredded Memory Foam Cooling pillow-Standard","SUM-1427","4","0.22%","6","0.25%","100%","2","50.00%","$99.98","1"
"B01L8SJ5HQ","B01EXS1V7U","Panda Life Silver Luxury Sheets-King","SUM-1476","45","2.43%","58","2.40%","100%","1","2.22%","$149.99","1"
"B01LWIJHPH","B01EYOO3XW","New Domaine Shredded Memory Foam Tencel Pillow, Queen","SUM-1447","7","0.38%","9","0.37%","100%","1","14.29%","$65.81","1"
"B01M1DG8DN","B01GVGWMTI","New Domaine 1662 Luxury Pillowcase and Sheet Set, King, Sage","SUM-1662","36","1.94%","53","2.19%","100%","1","2.78%","$89.99","1"
"B073PZLH1X","B01MYWP2QO","Install Centric ICGM2BN GMC/Chevrolet Full Size 1988-94 Truck RED Complete Installation Solution for Car Stereos","SCO-ICGM2BN","6","0.32%","8","0.33%","62%","1","16.67%","$22.99","1"
