
"Status","Advertised Product","ASIN","Impressions","Clicks","Average CPC","Spend","Total Sales","ACoS"
"Enabled","HushMat 10110 Ultra Black Foil Speaker Kit with Damping Pad - 4 Piece","B001VKO8E2","11,090","110","0.30","33.53","189.21","17.72%"
"Enabled","HushMat 10151 Ultra Silver Foil Starter Kit with Damping Pad - 4 Piece","B001VKS23U","645","5","0.27","1.36","23.93","5.68%"
"Enabled","Hushmat 10600 Ultra License Plate Kit with Damping Pad","B001VKO8Z6","2,292","2","0.36","0.72","0.00",-
"Enabled","HushMat 10301 Ultra Silver Foil Trunk Kit with Damping Pad - 10 Piece","B001VKT9IW","1,350","11","0.27","2.92","0.00",-
"Enabled","HushMat HSM30300 1"" x 20' Quiet Tape Shop Roll","B004J64OOO","115,595","346","0.55","190.24","416.59","45.67%"
"Enabled","Hushmat 82450 Speaker Kit","B00EO3ZNTW","10,975","15","0.38","5.64","60.02","9.40%"
"Enabled","HushMat 10501 Ultra Silver Foil Bulk Kit with Damping Pad - 30 Piece","B001VKT9PK","1,808","11","0.50","5.46","245.82","2.22%"
"Enabled","HushMat 10500 Ultra Black Foil Bulk Kit with Damping Pad - 30 Piece","B001VKO8WE","6,897","37","0.36","13.20","218.01","6.05%"
"Enabled","HushMat 10200 Ultra Black Foil Door Kit with Damping Pad - 10 Piece","B001VKVBHY","45,709","510","0.34","172.25","3,127.03","5.51%"
"Enabled","HushMat 10401 Ultra Silver Foil Floor Kit with Damping Pad - 20 Piece","B001VKT9NM","3,509","24","0.52","12.51","0.00",-
"Enabled","HushMat 10400 Ultra Black Foil Floor Kit with Damping Pad - 20 Piece","B001VKO8TW","5,470","57","0.42","23.71","544.21","4.36%"
"Enabled","HushMat 10150 Ultra Black Foil Starter Kit with Damping Pad - 4 Piece","B001VKVBCY","302","0",-,"0.00","0.00",-
"Enabled","HushMat 10300 Ultra Black Foil Trunk Kit with Damping Pad - 10 Piece","B001VKO8PQ","7,843","12","0.75","8.97","0.00",-
