"vendor_pub_code","asin","item_name","new_reviews_count","ALL_REVIEWS"
"CUT99","B005TICZCE","Power Pro 31100300300A Super 8 Slick Fishing Line, Marine Blue, 30 lb / 300 yd","1","www.amazon.com/product-reviews/B005TICZCE"
"CSMZ9","B001FG31MM","SCOSCHE MI3019B 2007-12 Mitsubishi Lancer Double DIN or DIN w/pocket Install Dash Kit","1","www.amazon.com/product-reviews/B001FG31MM"
"CUT68","B0149JVX12","Modern Man PM Fat Burner - Sleep Aid, Weight Loss & Testosterone Booster for Men, Best Night Time Metabolism Booster & Caffeine Free Sleep Supplement | Burn Belly Fat & Build Lean Muscle, 60 Pills","7","www.amazon.com/product-reviews/B0149JVX12"
"CSMZ9","B00009UHJX","Scosche Mda-Rb 1988 and Up Reverse Gm Micro/Delco Antenna Adapter","1","www.amazon.com/product-reviews/B00009UHJX"
"CUT68","B00V3M9QRC","Mutant Pro – 100% Whey Protein Shake With No Hidden Ingredients, Made In Gourmet, Delicious Flavors – Mint Chocolate Chip Ice Cream Flavor","1","www.amazon.com/product-reviews/B00V3M9QRC"
"CUT99","B005TIDBP4","Power Pro 31100200300A Super 8 Slick Fishing Line, Marine Blue, 20 lb / 300 yd","1","www.amazon.com/product-reviews/B005TIDBP4"
"CSMZ9","B001UE8J4E","Soundcast Subcast Wireless Subwoofer or Stereo Audio Kit with Transmitter & Receiver","1","www.amazon.com/product-reviews/B001UE8J4E"
"CSMZ9","B0082DJL34","Escort Straight Smart Cord (Blue Light)","1","www.amazon.com/product-reviews/B0082DJL34"
"CUT68","B01EA3L84E","T6 STAR6URN – Thermogenic Fat Burner, Weight Loss Pills for Men and Women with Chromium, Pure Forskolin and 7 More Shredding Diet Ingredients - Appetite Suppressant, 30 Day Supply","1","www.amazon.com/product-reviews/B01EA3L84E"
"CUT68","B072NB5XMG","GAT Nitraflex + C Creatine Cotton Candy Preworkout Supplement 30 Servings, 14.8 Ounce","1","www.amazon.com/product-reviews/B072NB5XMG"
"VIU4A","B001ANEFZW","Vision X Lighting VX-H9007 9007 80/100 Watt Hi or Low Beam Superwhite Bulb Set","1","www.amazon.com/product-reviews/B001ANEFZW"
